Customer Name,Customer Segment,Customer State,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,Zip Code,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Darren Budd,Consumer,Texas,17/06/2007 12:00:00 SA,57253,Critical,Office Supplies,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Central,8011,17/06/2007 12:00:00 SA,Regular Air,73301,"0,07",1,48,"0,8",($335),$12.636,35,"279,48"
Darren Budd,Consumer,Texas,17/06/2007 12:00:00 SA,57253,Critical,Technology,Small Box,232,Telephones and Communication,Central,8012,17/06/2007 12:00:00 SA,Regular Air,73301,"0,04",1,25,"0,55",$667,$2.750,"5,26","125,99"
Marina Lichtenstein,Corporate,Michigan,17/06/2007 12:00:00 SA,32418,Not Specified,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Central,4555,18/06/2007 12:00:00 SA,Delivery Truck,49642,"0,08",1,5,"0,55",($131),$1.244,"43,32","243,98"
Darren Budd,Consumer,Texas,17/06/2007 12:00:00 SA,57253,Critical,Office Supplies,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders and Binder Accessories,Central,8014,18/06/2007 12:00:00 SA,Regular Air,73301,"0,08",1,49,"0,36",($155),$240,"5,68","4,91"
Darren Budd,Consumer,Texas,17/06/2007 12:00:00 SA,57253,Critical,Office Supplies,Wrap Bag,Assorted Color Push Pins,Rubber Bands,Central,8013,18/06/2007 12:00:00 SA,Regular Air,73301,"0,08",1,43,"0,52",$2,$78,"0,75","1,81"
Dorris Love,Home Office,North Carolina,17/06/2007 12:00:00 SA,290,Not Specified,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,South,47,18/06/2007 12:00:00 SA,Regular Air,28717,"0,05",1,24,"0,36",($32),$189,"5,83","7,64"
Matt Collins,Consumer,Michigan,17/06/2007 12:00:00 SA,1028,High,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Central,164,18/06/2007 12:00:00 SA,Regular Air,48001,"0,03",1,6,"0,4",($28),$166,"1,99","28,48"
Darren Budd,Consumer,Texas,17/06/2007 12:00:00 SA,57253,Critical,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,Central,8015,19/06/2007 12:00:00 SA,Delivery Truck,73301,"0,06",1,29,"0,78",($1.359),$654,"53,03","20,98"
Robert Waldorf,Home Office,Virginia,17/06/2007 12:00:00 SA,59232,High,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,South,8291,19/06/2007 12:00:00 SA,Regular Air,23018,0,1,23,"0,4",$246,$725,"5,76","30,98"
Matt Collins,Consumer,Michigan,17/06/2007 12:00:00 SA,1028,High,Technology,Small Box,3285,Telephones and Communication,Central,165,19/06/2007 12:00:00 SA,Regular Air,48001,"0,01",1,11,"0,59",($60),$2.021,"5,99","205,99"
